Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Guppy,Starts 5/11/2026,Monday,9:30 AM,Guppy (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,10:00 AM,Dolphin (Intermediate),10:00 AM – 10:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,10:00 AM,Guppy (Beginner),10:00 AM – 10:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,10:30 AM,Dolphin (Intermediate),10:30 AM – 11:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,10:30 AM,Guppy (Beginner),10:30 AM – 11:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:00 PM,Private 15-min,3:00 PM – 3:15 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:15 PM,Private 15-min,3:15 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,1,1,0,1:1
Private 30-min,,Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Private 30-min,Starts 5/11/2026,Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,1,1,0,1:1
Clownfish,,Monday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Monday,4:00 PM,Dolphin (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Guppy,,Monday,4:00 PM,Guppy (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Tiger,,Monday,4:00 PM,Tiger (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Private 15-min,,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 30-min,,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Private 15-min,,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Dolphin,,Monday,4:30 PM,Dolphin (Intermediate),4:30 PM – 5:00 PM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,4:30 PM,Guppy (Beginner),4:30 PM – 5:00 PM,1,3,2,3:1
Marlin,,Monday,4:30 PM,Marlin (Intermediate),4:30 PM – 5:00 PM,3,4,1,4:1
Swordfish,,Monday,4:30 PM,Swordfish (Advanced),4:30 PM – 5:00 PM,3,4,1,4:1
Private 15-min,Starts 5/11/2026,Monday,4:30 PM,Private 15-min,4:30 PM – 4:45 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,1,1,0,1:1
