Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Monday,6:15 PM,Middle 1 (M1),6:15 PM – 6:45 PM,3,3,0,3:1
Monday,6:30 PM,Middle 1 (M1),6:30 PM – 7:00 PM,2,3,1,3:1
Monday,6:45 PM,Middle 1 (M1),6:45 PM – 7:15 PM,2,3,1,3:1
Monday,5:45 PM,Middle 3 (M3),5:45 PM – 6:15 PM,3,4,1,4:1
Monday,6:15 PM,Middle 3 (M3),6:15 PM – 6:45 PM,1,4,3,4:1
Monday,6:45 PM,Middle 2 (M2),6:45 PM – 7:15 PM,2,4,2,4:1
Monday,4:00 PM,Big 3 (B3),4:00 PM – 4:30 PM,2,4,2,4:1
Monday,6:30 PM,Big 3 (B3),6:30 PM – 7:00 PM,3,4,1,4:1
Monday,5:30 PM,Big 5 (B5),5:30 PM – 6:30 PM,6,7,1,7:1
Monday,3:45 PM,Big 1 (B1),3:45 PM – 4:15 PM,3,3,0,3:1
Monday,4:15 PM,Big 1 (B1),4:15 PM – 4:45 PM,2,3,1,3:1
Monday,4:45 PM,Big 1 (B1),4:45 PM – 5:15 PM,3,3,0,3:1
Monday,5:15 PM,Big 1 (B1),5:15 PM – 5:45 PM,3,3,0,3:1
Monday,6:15 PM,Big 1 (B1),6:15 PM – 6:45 PM,2,3,1,3:1
Monday,6:30 PM,Big 1 (B1),6:30 PM – 7:00 PM,1,3,2,3:1
Monday,4:30 PM,Big 4 (B4),4:30 PM – 5:15 PM,4,6,2,6:1
Monday,5:30 PM,Big 2 (B2),5:30 PM – 6:00 PM,2,4,2,4:1
Monday,6:00 PM,Big 2 (B2),6:00 PM – 6:30 PM,2,4,2,4:1
Monday,6:45 PM,Big 2 (B2),6:45 PM – 7:15 PM,3,4,1,4:1
Monday,7:00 PM,10+1 (10+1),7:00 PM – 7:30 PM,4,4,0,4:1
Tuesday,7:00 PM,Adult 1 (A1),7:00 PM – 7:30 PM,2,3,1,3:1
Tuesday,9:30 AM,Backfloat Baby 1 (BB1),9:30 AM – 10:00 AM,4,5,1,5:1
